Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
1570;007;Внутриплощадочные наружные сети;032;Наружные внутриплощадочные сети теплоснабжения;106;Внутриплощадочные НТС;329;Обратная засыпка наружных тепловых сетей
1580;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;441;Разводка ХВС/ГВС в МОП (под потолком)
1590;002;Организация строительной площадки (ПОС);008;Временные дороги и площадки;010;Временные дороги;025;Демонтаж временных дорог из ж/б плит
1600;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);140;Сжатый воздух;510;ПНР сжат. воздух
1600;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;511;Монтаж автоматики и щита управления кран-балки
1600;007;Внутриплощадочные наружные сети;035;Наружные внутриплощадочные слаботочные сети;111;Внутриплощадочные НСС;370;Траншеи, котлованы кабельной канализации сетей связи
1610;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);202;Магистральные электрические линии (стояки)
1610;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);588;Магистральные линии питания ЩЭ
1613;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);589;Магистральные линии ПД/ДУ
1616;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);590;Магистральные линии питания общедомовых потребителей
1620;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;381;"Дорожное ""корыто"""
1630;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;073;Молниезащита;222;Молниезащита
1630;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;529;Земляные работы (благоустройство)
